adm0_id,adm0_name,adm1_id,adm1_name,mkt_id,mkt_name,cm_id,cm_name,cur_id,cur_name,pt_id,pt_name,um_id,um_name,mp_month,mp_year,mp_price,mp_commoditysource
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,1,2015,5178.5714,WFP and Partner NGOs
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,2,2015,5707.1429,WFP and Partner NGOs
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,3,2015,5535.7143,WFP and Partner NGOs
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,4,2015,5400.0,WFP and Partner NGOs
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,5,2015,5827.6667,WFP and NGO Partners
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,6,2015,5696.6667,WFP and NGO Partners
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,7,2015,5816.9231,WFP and NGO Partners
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,8,2015,5625.0,WFP and NGO Parnters
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,9,2015,6049.375,WFP and NGO Parnters
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,10,2015,5222.2222,WFP and Partners
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,11,2015,5686.8182,WFP and Partners
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,12,2015,5683.3333,WFP and Partners
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,1,2016,5285.7143,WFP and Partners
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,2,2016,5166.6667,WFP and Partners
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,3,2016,4900.0,WFP and Partners
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,4,2016,5558.7646,WFP and NGO Parnters
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,5,2016,5150.0,WFP and NGO Parnters
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,6,2016,5317.3076,WFP and NGO Parnters
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,7,2016,5925.0,WFP and NGO Parnters
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,8,2016,5133.3335,WFP and NGO Parnters
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,9,2016,5205.8823,WFP and NGO Parnters
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,10,2016,5181.8184,WFP and NGO Parnters
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,11,2016,4985.2939,WFP and NGO Parnters
141,Lebanon,1799,North,1684,Akkar,58,Wheat flour,90,LBP,15,Retail,87,5 KG,12,2016,4230.769,WFP and NGO Parnters
141,Lebanon,1799,North,1684,Akkar,66,Beans (white),90,LBP,15,Retail,5,KG,8,2012,2730.4348,WFP and Partner NGOs
141,Lebanon,1799,North,1684,Akkar,66,Beans (white),90,LBP,15,Retail,5,KG,9,2012,2675.4348,WFP and Partner NGOs
141,Lebanon,1799,North,1684,Akkar,66,Beans (white),90,LBP,15,Retail,5,KG,10,2012,2747.7273,WFP and Partner NGOs
141,Lebanon,1799,North,1684,Akkar,66,Beans (white),90,LBP,15,Retail,5,KG,11,2012,2751.5,WFP and Partner NGOs
141,Lebanon,1799,North,1684,Akkar,66,Beans (white),90,LBP,15,Retail,5,KG,12,2012,2716.5,WFP and Partner NGOs
141,Lebanon,1799,North,1684,Akkar,66,Beans (white),90,LBP,15,Retail,5,KG,1,2013,2829.1034,WFP and Partner NGOs
141,Lebanon,1799,North,1684,Akkar,66,Beans (white),90,LBP,15,Retail,5,KG,2,2013,3001.6071,WFP and Partner NGOs
141,Lebanon,1799,North,1684,Akkar,66,Beans (white),90,LBP,15,Retail,5,KG,3,2013,3065.0,WFP and Partner NGOs
141,Lebanon,1799,North,1684,Akkar,66,Beans (white),90,LBP,15,Retail,5,KG,4,2013,3151.25,WFP and Partner NGOs
